timestep,Left Shoulder,Left UpperArm,Left ForeArm,Left Wrist1,Left Wrist2,Left Wrist3,Right Shoulder,Right UpperArm,Right ForeArm,Right Wrist1,Right Wrist2,Right Wrist3,Left EE Transform,Right EE Transform
0:00:00.128739,-0.19720000000000001,-2.1063,-1.5993600000000001,3.7114599999999998,-0.9523066666666667,0.10468,0.20461333333333334,-1.0304926535897931,1.60616,-0.5759206797435401,0.9622,-0.0974,"[[0.9995202611741487, 0.024762859386803598, 0.018079986169409132, -0.02960853769600682, 0.6264241912471327, 0.7789196539327206, 0.007962537150022254, -0.7790827577448783, 0.6268554034364264], [0.7003258039940228, 0.19455684435885606, 0.6104690136483237]]","[[0.9996284826581391, -0.01915380271352791, 0.018890801483418034, 0.02675539614012299, 0.6346381931174039, -0.7723459827181981, 0.002804538459594021, 0.7725657937537024, 0.6349135615171368], [0.6998859979627094, -0.19426577046757765, 0.6167515395584657]]"
0:00:00.200577,-0.18359999999999999,-2.1063,-1.57352,3.69922,-0.92828,0.12236000000000001,0.22002666666666673,-0.9896926535897931,1.57352,-0.5845340130768735,0.9622,-0.0974,"[[0.9990373653484321, 0.0398260411590113, 0.017862838488026417, -0.038358186438007334, 0.6057990084440985, 0.7946922929638076, 0.020828158124282247, -0.7946142824123839, 0.6067416983404688], [0.7030921537279484, 0.1944143974817099, 0.5965698336970618]]","[[0.9990561983314331, -0.030965100800273575, 0.030145164147631378, 0.042948007977865015, 0.6340249234724243, -0.7721189330429273, 0.004795955199708367, 0.7726862034152129, 0.6347550963286265], [0.7144516819822975, -0.18747525753216504, 0.627695909598674]]"
0:00:00.273419,-0.16919999999999996,-2.1063,-1.54616,3.68626,-0.90284,0.14108000000000004,0.2363466666666668,-0.946492653589793,1.53896,-0.5936540130768735,0.9622,-0.0974,"[[0.9982853277615933, 0.05552549949682094, 0.018005419537758634, -0.04705691151679722, 0.583035278885078, 0.8110825910095412, 0.034537971197340665, -0.8105412959751205, 0.5846462566616827], [0.7055773695077051, 0.1943706775539691, 0.5817869074073312]]","[[0.9982176644250766, -0.042768327021662056, 0.041391455135400976, 0.059128250970509874, 0.6332252797835168, -0.7717054775068696, 0.006794436467660586, 0.7727787686310069, 0.6346241513113634], [0.7286939713883274, -0.18069962474912324, 0.6395697164649798]]"
0:00:00.335993,-0.15799999999999997,-2.1063,-1.52488,3.67618,-0.8830533333333334,0.15564000000000006,0.24994666666666682,-0.9104926535897929,1.51016,-0.6012540130768735,0.9622,-0.0974,"[[0.9975369950559841, 0.06754705444910879, 0.018391023774224302, -0.05341956396131097, 0.5646837535491761, 0.8235762934569785, 0.045245040400692604, -0.8225327129743002, 0.5668988173388622], [0.7071953771331805, 0.194415489624841, 0.5702529840363971]]","[[0.9973815350157389, -0.05194106488885804, 0.05013102136697542, 0.07170158572543836, 0.632474593637583, -0.7712551378704637, 0.008353215794280085, 0.7728314332253741, 0.6345414115761994], [0.7395183350420702, -0.17544796424178363, 0.6494377522337924]]"
0:00:00.398680,-0.14519999999999994,-2.1063,-1.5005600000000001,3.66466,-0.86044,0.17228000000000004,0.2635466666666669,-0.874492653589793,1.48136,-0.6088540130768735,0.9622,-0.0974,"[[0.9965150316206434, 0.08107118388008343, 0.019135600210380892, -0.06025984631235188, 0.543031530376343, 0.8375467786611448, 0.05750967463409608, -0.8357838417685571, 0.5460216409254561], [0.7087082185160325, 0.19455386264064892, 0.5570441330083329]]","[[0.996229068103559, -0.06241408224808468, 0.06010898574078337, 0.08605618236748352, 0.6314788728809031, -0.7706026465798766, 0.010138902398623964, 0.7728708336081739, 0.6344673994125342], [0.7515879885849431, -0.1694732664197951, 0.6613819392824056]]"
0:00:00.461344,-0.13319999999999993,-2.1063,-1.47776,3.65386,-0.83924,0.18788000000000005,0.27714666666666693,-0.838492653589793,1.45256,-0.6164540130768735,0.9622,-0.0974,"[[0.9954031627320018, 0.09353089146505676, 0.020136034100831892, -0.06625638974852194, 0.5220882178400472, 0.850313392957311, 0.06901778350990465, -0.8477418682207188, 0.5258821958272746], [0.7098020686355352, 0.19477041896540861, 0.5446448064296177]]","[[0.994958097239679, -0.07222090473886011, 0.06945169643713299, 0.09949659352183508, 0.6304120527966677, -0.7698575811194884, 0.01181662450737575, 0.7728875691893305, 0.6344179826067786], [0.7625846673545219, -0.1639047293838984, 0.6732132710831595]]"
0:00:00.522442,-0.12119999999999995,-2.1063,-1.45496,3.6430599999999997,-0.81804,0.20348000000000005,0.290746666666667,-0.8024926535897928,1.42376,-0.6240540130768735,0.9622,-0.0974,"[[0.9942380003652095, 0.10495888001623178, 0.021340222821283093, -0.07149212161230306, 0.5019912735667794, 0.8619120009817822, 0.0797527126633424, -0.8584746966384864, 0.5065991585598209], [0.7105411867636929, 0.1950503846677586, 0.533067088904501]]","[[0.9935029767281647, -0.0820146573361546, 0.07878133768307503, 0.11291800051527842, 0.6292163802977112, -0.7689836409330947, 0.0134974216762802, 0.7728846956351765, 0.6343879497674484], [0.773246633233557, -0.15837370031074172, 0.6856447052953341]]"
0:00:00.589811,-0.10919999999999992,-2.1063,-1.43216,3.63226,-0.79684,0.21908000000000008,0.304346666666667,-0.7664926535897929,1.39496,-0.6316540130768735,0.9622,-0.0974,"[[0.9927639234906274, 0.11777019535533285, 0.02304307825806498, -0.07705291921002422, 0.4783895210087684, 0.8747597917402724, 0.09199706439179886, -0.8702092031660937, 0.4839986914227224], [0.7110547842579197, 0.19546470490705478, 0.5198400330443566]]","[[0.9918639734050595, -0.09179356807115725, 0.08809613758405622, 0.12631793199166064, 0.6278920540735534, -0.7679810246587386, 0.015180853680769504, 0.7728621606030792, 0.6343773532424413], [0.783548473677435, -0.15288537254454265, 0.6986621489085761]]"
0:00:00.662127,-0.09479999999999991,-2.1063,-1.4048,3.6193,-0.7713999999999999,0.23780000000000007,0.32066666666666704,-0.7232926535897928,1.3604,-0.6407740130768735,0.9622,-0.0974,"[[0.9910412608588443, 0.13107681870435095, 0.025241656240703177, -0.08247323604467346, 0.4525931951440785, 0.8878939223642505, 0.1049581088417256, -0.8820253269082587, 0.45934480667452027], [0.7112164228613025, 0.1960179361984823, 0.5058044603098723]]","[[0.9897845238435311, -0.10285615763346447, 0.09863273558696115, 0.1414754445254854, 0.6262359047517393, -0.766689452847614, 0.017091370809569267, 0.7728127926196942, 0.6343888999366701], [0.7947570315545474, -0.1467227997421837, 0.7141042866091263]]"
0:00:00.732294,-0.0819999999999999,-2.1063,-1.38048,3.60778,-0.7487866666666666,0.2544400000000001,0.33517333333333377,-0.6848926535897928,1.32968,-0.6488806797435402,0.9622,-0.0974,"[[0.9891684395221223, 0.14405331929091303, 0.027848569830926463, -0.08739911689914878, 0.4260806030921444, 0.9004523360275751, 0.117847412439214, -0.8931373751388443, 0.43405121552744735], [0.7109860209829837, 0.19669047981313628, 0.4918014812556793]]","[[0.9874697656141047, -0.11389484044956327, 0.10914542771161759, 0.1565986197372439, 0.6244151537039729, -0.7652332504457734, 0.019004059945586606, 0.7727380482050903, 0.6344255338665399], [0.8054354010027582, -0.14062716361504188, 0.7302552720404708]]"
