motion_server: 15:51:27 - Server Created
motion_server: 15:52:29 - Motion shutdown,restarting
motion_server: 15:52:29 - Kinematic mode is activated
motion_server: 15:52:29 - server is already activated
15:52:29 _controlLoop :INFO- controlLoop started.
15:52:29 startup :INFO- robot started.
motion_server: 15:52:29 - controlLoop started.
motion_server: 15:52:29 - robot started.
15:52:29 startup :WARNING- Already started.
motion_server: 15:52:29 - Already started.
16:37:24 _controlLoop :INFO- controlThread exited.
motion_server: 16:37:24 - controlThread exited.
motion_server: 16:37:24 - signal_shutdown [atexit]
motion_server: 16:37:51 - Server Created
motion_server: 16:38:07 - Motion shutdown,restarting
motion_server: 16:38:07 - Kinematic mode is activated
motion_server: 16:38:07 - server is already activated
16:38:07 startup :INFO- robot started.
motion_server: 16:38:07 - robot started.
16:38:07 _controlLoop :INFO- controlLoop started.
motion_server: 16:38:07 - controlLoop started.
16:38:07 startup :WARNING- Already started.
motion_server: 16:38:07 - Already started.
16:58:56 _controlLoop :INFO- controlThread exited.
motion_server: 16:58:56 - controlThread exited.
motion_server: 16:58:56 - signal_shutdown [atexit]
motion_server: 17:00:51 - Server Created
motion_server: 17:01:01 - Motion shutdown,restarting
motion_server: 17:01:02 - Kinematic mode is activated
motion_server: 17:01:02 - server is already activated
17:01:02 _controlLoop :INFO- controlLoop started.
17:01:02 startup :INFO- robot started.
motion_server: 17:01:02 - controlLoop started.
motion_server: 17:01:02 - robot started.
17:01:02 startup :WARNING- Already started.
motion_server: 17:01:02 - Already started.
17:06:05 _controlLoop :INFO- controlThread exited.
motion_server: 17:06:05 - controlThread exited.
motion_server: 17:06:07 - Motion shutdown,restarting
motion_server: 17:06:07 - Kinematic mode is activated
motion_server: 17:06:07 - server is already activated
17:06:07 _controlLoop :INFO- controlLoop started.
motion_server: 17:06:07 - controlLoop started.
17:06:07 startup :INFO- robot started.
motion_server: 17:06:07 - robot started.
17:06:07 startup :WARNING- Already started.
motion_server: 17:06:07 - Already started.
17:09:29 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:29 - dimensions : 2
17:09:29 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:29 - dimensions : 2
17:09:29 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:29 - dimensions : 2
17:09:29 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:29 - dimensions : 2
17:09:29 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:29 - dimensions : 2
17:09:29 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:29 - dimensions : 2
17:09:29 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:29 - dimensions : 2
17:09:29 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:29 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:30 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:30 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:31 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:31 - dimensions : 2
17:09:32 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:32 - dimensions : 2
17:09:32 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:32 - dimensions : 2
17:09:32 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:32 - dimensions : 2
17:09:32 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:32 - dimensions : 2
17:09:32 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:32 - dimensions : 2
17:09:32 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:32 - dimensions : 2
17:09:32 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:32 - dimensions : 2
17:09:32 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:32 - dimensions : 2
17:09:32 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:32 - dimensions : 2
17:09:32 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:32 - dimensions : 2
17:09:32 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:32 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:33 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:33 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:34 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:34 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:35 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:35 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:36 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:36 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:36 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:36 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:36 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:36 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:36 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:36 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:36 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:36 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:36 - dimensions : 2
17:09:36 setBaseVelocity :DEBUG- dimensions : 2
